'ASKL',"[0.262745098039216,0.380392156862745,0.239215686274510]"
'ASKR',"[0.262745098039216,0.380392156862745,0.239215686274510]"
'AUAL',"[0.823529411764706,0.333333333333333,0.388235294117647]"
'AUAR',"[0.823529411764706,0.333333333333333,0.388235294117647]"
'AVAL',"[0.568627450980392,0.580392156862745,0.972549019607843]"
'AVAR',"[0.568627450980392,0.580392156862745,0.972549019607843]"
'AVBL',"[0,0,0]"
'AVBR',"[0,0,0]"
'AVDL',"[0.964705882352941,0.988235294117647,0.392156862745098]"
'AVDR',"[0.964705882352941,0.988235294117647,0.392156862745098]"
'AVEL',"[0.988235294117647,0.921568627450980,0.733333333333333]"
'AVER',"[0.988235294117647,0.921568627450980,0.733333333333333]"
'AVFL',"[0.215686274509804,0.274509803921569,0.337254901960784]"
'AVFR',"[0.215686274509804,0.274509803921569,0.337254901960784]"
'AVG',"[0.549019607843137,0.952941176470588,0.800000000000000]"
'AVHL',"[0.196078431372549,0.301960784313725,0.960784313725490]"
'AVHR',"[0.196078431372549,0.301960784313725,0.960784313725490]"
'AVJL',"[0.705882352941177,0.376470588235294,0.729411764705882]"
'AVJR',"[0.705882352941177,0.376470588235294,0.729411764705882]"
'AVKL',"[0.172549019607843,0.258823529411765,0.960784313725490]"
'AVKR',"[0.172549019607843,0.258823529411765,0.960784313725490]"
'AVL',"[0.894117647058824,0.721568627450980,0.984313725490196]"
'AVM',"[0.376470588235294,1,0.482352941176471]"
'AWAL',"[0.337254901960784,0.615686274509804,0.349019607843137]"
'AWAR',"[0.337254901960784,0.615686274509804,0.349019607843137]"
'AWBL',"[0.588235294117647,0.984313725490196,0.839215686274510]"
'AWBR',"[0.588235294117647,0.984313725490196,0.839215686274510]"
'AWCL',"[0.468627450980392,0.482352941176471,0.423529411764706]"
'AWCR',"[0.468627450980392,0.482352941176471,0.423529411764706]"
'BAGL',"[0.611764705882353,0.325490196078431,0.364705882352941]"
'BAGR',"[0.611764705882353,0.325490196078431,0.364705882352941]"
'BDUL',"[0,0,0]"
'BDUR',"[0,0,0]"
'CANL',"[0,0,0]"
'CANR',"[0,0,0]"
'CEPDL',"[0.882352941176471,0.588235294117647,0.882352941176471]"
'CEPDR',"[0.882352941176471,0.588235294117647,0.882352941176471]"
'CEPVL',"[0.882352941176471,0.588235294117647,0.882352941176471]"
'CEPVR',"[0.882352941176471,0.588235294117647,0.882352941176471]"
'DA1',"[0.372549019607843,0.996078431372549,0.239215686274510]"
'DA2',"[0.733333333333333,0.894117647058824,0.313725490196078]"
'DA3',"[0.733333333333333,0.894117647058824,0.313725490196078]"
'DA4',"[0.733333333333333,0.894117647058824,0.313725490196078]"
'DA5',"[0.733333333333333,0.894117647058824,0.313725490196078]"
